iter	RMSE
0	0.0104446192
1	0.0104412107
2	0.01043512454
3	0.01043106794
4	0.01042782822
5	0.01042205714
6	0.01041941623
7	0.01041468619
8	0.01041140131
9	0.01040703562
10	0.01040176255
11	0.0103973228
12	0.01039430666
13	0.01039150019
14	0.0103853824
15	0.01038169705
16	0.01037759894
17	0.01037395787
18	0.01037041541
19	0.0103675111
20	0.01036415238
21	0.01036043153
22	0.01035642575
23	0.01035462702
24	0.01035158613
25	0.01034521209
26	0.01034379176
27	0.01034032508
28	0.01033770831
29	0.01033404276
30	0.0103308941
31	0.01032583481
32	0.01032261708
33	0.01031928707
34	0.01031573085
35	0.01031300393
36	0.01030946929
37	0.01030724592
38	0.01030410328
39	0.01029937552
40	0.01029507425
41	0.01029098113
42	0.01028806803
43	0.01028506997
44	0.01028191701
45	0.01027921524
46	0.01027580698
47	0.01027256634
48	0.01027036265
49	0.01026670525
50	0.01026423346
51	0.01026006367
52	0.01025588534
53	0.01025263341
54	0.01024936956
55	0.01024714082
56	0.0102448581
57	0.01023990276
58	0.01023593844
59	0.01023228989
60	0.01022621584
61	0.0102221885
62	0.01021919069
63	0.01021752648
64	0.01021567858
65	0.01021421083
66	0.01021239394
67	0.01020995353
68	0.01020880608
69	0.01020545686
70	0.01020348084
71	0.01020045823
72	0.01019748064
73	0.01019529861
74	0.01019338556
75	0.01019108246
76	0.01018870512
77	0.01018556276
78	0.01018298706
79	0.01017860518
80	0.01017724044
81	0.01017479314
82	0.01017190834
83	0.01017048846
84	0.01016737475
85	0.01016595559
86	0.01016404042
87	0.01016180267
88	0.01015688915
89	0.01015469412
90	0.01015298511
91	0.01015184947
92	0.01014853056
93	0.01014649963
94	0.01014361119
95	0.01014165188
96	0.01013886831
97	0.01013531886
98	0.01013298632
99	0.01012973447
100	0.01012791353
101	0.01012614102
102	0.01012311648
103	0.01011908605
104	0.01011665662
105	0.01011501797
106	0.01011316986
107	0.01011111954
108	0.01010888257
109	0.01010661712
110	0.01010368848
111	0.01010164883
112	0.01009966567
113	0.01009827901
114	0.0100961925
115	0.01009477439
116	0.01008984729
117	0.01008756638
118	0.01008675095
119	0.01008358654
120	0.01008110835
121	0.01007885536
122	0.01007728259
123	0.01007556939
124	0.01007430005
125	0.01007307679
126	0.0100708526
127	0.01006852698
128	0.01006670573
129	0.0100661087
130	0.01006451651
131	0.0100631044
132	0.01006152115
133	0.01005903392
134	0.01005658734
135	0.01005372763
136	0.01005255651
137	0.01005076825
138	0.01004758888
139	0.01004592454
140	0.0100434649
141	0.01004062137
142	0.01003931812
143	0.01003709353
144	0.01003585589
145	0.0100331571
146	0.01003141856
147	0.01003087697
148	0.01002800732
149	0.01002441451
150	0.01002164267
151	0.01002067989
152	0.01001763812
153	0.01001570095
154	0.01001404319
155	0.01001314463
156	0.01001204295
157	0.01001134446
158	0.01001036496
159	0.01000827981
160	0.01000638423
161	0.01000372317
162	0.01000074167
163	0.009999367853
164	0.009997560687
165	0.009996497309
166	0.009995525952
167	0.009992894799
168	0.00998938934
169	0.00998751453
170	0.009985916434
171	0.009984012254
172	0.009982204053
173	0.009980958066
174	0.009979838464
175	0.009978323093
176	0.009977123921
177	0.009976243983
178	0.009972971297
179	0.009972253098
180	0.009970600873
181	0.009968712528
182	0.009967083898
183	0.009964944095
184	0.009964768591
185	0.009963521416
186	0.009962691351
187	0.009961799349
188	0.00996085724
189	0.009959585222
190	0.009958468591
191	0.009957186011
192	0.009954831437
193	0.009952719436
194	0.009947759316
195	0.009944897124
196	0.00994430695
197	0.009943080276
198	0.009941177945
199	0.009940045557
